Fish #,No.cells,Strain,Stain,Time
346,18,tet2 wt/wt,pu.1,24 hpf
347,28,tet2 wt/wt,pu.1,24 hpf
348,23,tet2 wt/wt,pu.1,24 hpf
349,33,tet2 -/-,pu.1,24 hpf
350,20,tet2 -/-,pu.1,24 hpf
351,31,tet2 -/-,pu.1,24 hpf
352,29,tet2 -/-,pu.1,24 hpf
353,22,tet2 -/-,pu.1,24 hpf
354,30,tet2 -/-,pu.1,24 hpf
355,22,tet2 -/-,pu.1,24 hpf
356,30,tet2 -/-,pu.1,24 hpf
357,33,tet2 -/-,pu.1,24 hpf
358,40,tet2 -/-,pu.1,24 hpf
359,20,tet2 -/-,pu.1,24 hpf
360,13,tet2 -/-,pu.1,24 hpf
361,34,tet2 -/-,pu.1,24 hpf
362,19,tet2 -/-,pu.1,24 hpf
363,36,tet2 -/-,pu.1,24 hpf
364,29,tet2 -/-,pu.1,24 hpf
365,39,tet2 -/-,pu.1,24 hpf
366,22,tet2 -/-,pu.1,24 hpf
367,18,tet2 -/-,pu.1,24 hpf
368,24,tet2 -/-,pu.1,24 hpf
369,18,tet2 -/-,pu.1,24 hpf
370,22,tet2 -/-,pu.1,24 hpf
371,20,tet2 -/-,pu.1,24 hpf
372,19,tet2 -/-,pu.1,24 hpf
373,22,tet2 -/-,pu.1,24 hpf
374,24,tet2 -/-,pu.1,24 hpf
375,18,tet2 -/-,pu.1,24 hpf
376,23,tet2 -/-,pu.1,24 hpf
377,18,tet2 -/-,pu.1,24 hpf
378,19,tet2 -/-,pu.1,24 hpf
379,35,tet2 wt/wt,pu.1,36 hpf
380,19,tet2 wt/wt,pu.1,36 hpf
381,27,tet2 wt/wt,pu.1,36 hpf
382,26,tet2 wt/wt,pu.1,36 hpf
383,35,tet2 wt/wt,pu.1,36 hpf
384,34,tet2 wt/wt,pu.1,36 hpf
385,27,tet2 wt/wt,pu.1,36 hpf
386,33,tet2 wt/wt,pu.1,36 hpf
387,24,tet2 wt/wt,pu.1,36 hpf
388,28,tet2 wt/wt,pu.1,36 hpf
389,27,tet2 wt/wt,pu.1,36 hpf
390,32,tet2 wt/wt,pu.1,36 hpf
391,35,tet2 wt/wt,pu.1,36 hpf
392,32,tet2 wt/wt,pu.1,36 hpf
393,28,tet2 wt/wt,pu.1,36 hpf
394,22,tet2 wt/wt,pu.1,36 hpf
395,25,tet2 wt/wt,pu.1,36 hpf
396,33,tet2 wt/wt,pu.1,36 hpf
397,20,tet2 wt/wt,pu.1,36 hpf
398,20,tet2 wt/wt,pu.1,36 hpf
399,29,tet2 wt/wt,pu.1,36 hpf
400,42,tet2 wt/wt,pu.1,36 hpf
401,35,tet2 -/-,pu.1,36 hpf
402,14,tet2 -/-,pu.1,36 hpf
403,16,tet2 -/-,pu.1,36 hpf
404,39,tet2 -/-,pu.1,36 hpf
405,24,tet2 -/-,pu.1,36 hpf
406,17,tet2 -/-,pu.1,36 hpf
407,24,tet2 -/-,pu.1,36 hpf
408,22,tet2 -/-,pu.1,36 hpf
409,15,tet2 -/-,pu.1,36 hpf
410,11,tet2 -/-,pu.1,36 hpf
411,19,tet2 -/-,pu.1,36 hpf
412,11,tet2 -/-,pu.1,36 hpf
413,22,tet2 -/-,pu.1,36 hpf
414,24,tet2 -/-,pu.1,36 hpf
415,27,tet2 -/-,pu.1,36 hpf
416,30,tet2 -/-,pu.1,36 hpf
417,13,tet2 -/-,pu.1,36 hpf
418,13,tet2 -/-,pu.1,36 hpf
419,19,tet2 -/-,pu.1,36 hpf
420,34,tet2 wt/wt,runx1/cmyb,48 hpf
421,11,tet2 wt/wt,runx1/cmyb,48 hpf
422,26,tet2 wt/wt,runx1/cmyb,48 hpf
423,25,tet2 wt/wt,runx1/cmyb,48 hpf
424,7,tet2 wt/wt,runx1/cmyb,48 hpf
425,28,tet2 wt/wt,runx1/cmyb,48 hpf
426,25,tet2 wt/wt,runx1/cmyb,48 hpf
427,28,tet2 wt/wt,runx1/cmyb,48 hpf
428,19,tet2 wt/wt,runx1/cmyb,48 hpf
429,41,tet2 wt/wt,runx1/cmyb,48 hpf
430,16,tet2 wt/wt,runx1/cmyb,48 hpf
431,21,tet2 wt/wt,runx1/cmyb,48 hpf
432,27,tet2 wt/wt,runx1/cmyb,48 hpf
433,25,tet2 wt/wt,runx1/cmyb,48 hpf
434,32,tet2 wt/wt,runx1/cmyb,48 hpf
435,31,tet2 wt/wt,runx1/cmyb,48 hpf
436,15,tet2 -/-,runx1/cmyb,48 hpf
437,17,tet2 -/-,runx1/cmyb,48 hpf
438,22,tet2 -/-,runx1/cmyb,48 hpf
439,14,tet2 -/-,runx1/cmyb,48 hpf
440,19,tet2 -/-,runx1/cmyb,48 hpf
441,19,tet2 -/-,runx1/cmyb,48 hpf
442,15,tet2 -/-,runx1/cmyb,48 hpf
443,42,tet2 wt/wt,cpa5,48 hpf
444,68,tet2 wt/wt,cpa5,48 hpf
445,66,tet2 wt/wt,cpa5,48 hpf
446,72,tet2 wt/wt,cpa5,48 hpf
447,61,tet2 wt/wt,cpa5,48 hpf
448,55,tet2 wt/wt,cpa5,48 hpf
449,82,tet2 wt/wt,cpa5,48 hpf
450,55,tet2 wt/wt,cpa5,48 hpf
451,74,tet2 wt/wt,cpa5,48 hpf
452,54,tet2 wt/wt,cpa5,48 hpf
453,71,tet2 wt/wt,cpa5,48 hpf
454,54,tet2 wt/wt,cpa5,48 hpf
455,66,tet2 wt/wt,cpa5,48 hpf
456,63,tet2 wt/wt,cpa5,48 hpf
457,58,tet2 wt/wt,cpa5,48 hpf
458,70,tet2 wt/wt,cpa5,48 hpf
459,65,tet2 wt/wt,cpa5,48 hpf
460,52,tet2 wt/wt,cpa5,48 hpf
461,64,tet2 -/-,cpa5,48 hpf
462,55,tet2 -/-,cpa5,48 hpf
463,60,tet2 -/-,cpa5,48 hpf
464,54,tet2 -/-,cpa5,48 hpf
465,58,tet2 -/-,cpa5,48 hpf
466,45,tet2 -/-,cpa5,48 hpf
467,39,tet2 -/-,cpa5,48 hpf
468,68,tet2 -/-,cpa5,48 hpf
469,51,tet2 -/-,cpa5,48 hpf
470,30,tet2 -/-,cpa5,48 hpf
471,41,tet2 -/-,cpa5,48 hpf
472,28,tet2 -/-,cpa5,48 hpf
473,42,tet2 -/-,cpa5,48 hpf
474,81,tet2 -/-,cpa5,48 hpf
475,46,tet2 -/-,cpa5,48 hpf
